CityObject,Zone
<http://localhost/berlin/cityobject/UUID_83edf24b-f0d5-485f-a5c4-9c700f1d1a9f/>,COMMERCIAL
<http://localhost/berlin/cityobject/UUID_ffb33658-a363-4b80-ab20-2cfcc61c5fd9/>,COMMERCIAL
<http://localhost/berlin/cityobject/UUID_a1638803-2ab1-4bca-9fc4-c13baab6ef1a/>,COMMERCIAL
<http://localhost/berlin/cityobject/UUID_f573542b-ff51-4187-b339-adf9a44f541c/>,COMMERCIAL
<http://localhost/berlin/cityobject/UUID_d7d1edae-3ca8-4819-a47b-978a67607771/>,COMMERCIAL
<http://localhost/berlin/cityobject/UUID_b71351d9-85dc-4eb4-bcce-e61de90e29b5/>,COMMERCIAL
<http://localhost/berlin/cityobject/UUID_9c98d517-7895-4e42-bc5c-8fb3b6eaf329/>,COMMERCIAL
<http://localhost/berlin/cityobject/UUID_862d4413-4079-4578-91fe-3a03f4212658/>,COMMERCIAL
<http://localhost/berlin/cityobject/UUID_df06b3d7-7a32-4610-86d5-d66e459d7b89/>,COMMERCIAL
<http://localhost/berlin/cityobject/UUID_ca629457-2f63-4d99-9673-12f4758406a3/>,COMMERCIAL
<http://localhost/berlin/cityobject/UUID_511d2037-83c6-4e23-8326-2daccf83e533/>,COMMERCIAL
<http://localhost/berlin/cityobject/UUID_d14b1c5a-8ed4-43b4-8cea-0bd44ceebd62/>,COMMERCIAL
<http://localhost/berlin/cityobject/UUID_da42629a-1c3b-43eb-b95d-113f6f137563/>,COMMERCIAL
<http://localhost/berlin/cityobject/UUID_48951e61-0b57-447d-adec-30bf4a2167bc/>,COMMERCIAL
<http://localhost/berlin/cityobject/UUID_b927ad03-fbe6-41c6-9c9f-3ff765cd8c6b/>,COMMERCIAL
<http://localhost/berlin/cityobject/UUID_7a5051dc-275c-4e4e-a3ef-59138d017bb1/>,COMMERCIAL
<http://localhost/berlin/cityobject/UUID_397466a2-a156-4fea-96de-b3319dd5e4c4/>,COMMERCIAL
<http://localhost/berlin/cityobject/UUID_3de72c03-c1ec-4a58-a369-ebe669c908ae/>,WHITE
<http://localhost/berlin/cityobject/UUID_8af45317-9f46-4f45-b5d9-9137915273f2/>,COMMERCIAL
<http://localhost/berlin/cityobject/UUID_81870a76-42db-4b4f-8054-4f11f3b25174/>,COMMERCIAL
<http://localhost/berlin/cityobject/UUID_ff9bc2c5-4d83-4ae5-b932-88e7be77d7c4/>,COMMERCIAL
<http://localhost/berlin/cityobject/UUID_eb1cb102-8185-4e9c-854c-a20baf9cd594/>,COMMERCIAL
<http://localhost/berlin/cityobject/UUID_0a1cef08-5463-4a4f-98b4-7209ba8badc6/>,COMMERCIAL
<http://localhost/berlin/cityobject/UUID_d72ec836-299e-48f7-a3e5-f80cc2439fcb/>,COMMERCIAL
<http://localhost/berlin/cityobject/UUID_75c8c202-2cff-4109-a31e-8da9194f613b/>,COMMERCIAL
<http://localhost/berlin/cityobject/UUID_047cc464-d116-4c41-a75c-9efc8967849e/>,WHITE
<http://localhost/berlin/cityobject/UUID_b7ef0711-eacb-4a05-a420-ea8667b037b1/>,COMMERCIAL
<http://localhost/berlin/cityobject/UUID_c1eddd94-612a-4549-8068-71033dea32b6/>,COMMERCIAL
<http://localhost/berlin/cityobject/UUID_4a5c2062-ae29-46cc-9a9d-8a137110d9c2/>,COMMERCIAL
<http://localhost/berlin/cityobject/UUID_b4e445dc-2257-4d63-a80d-42d8fc8cae7d/>,COMMERCIAL
<http://localhost/berlin/cityobject/UUID_c7170a1e-d365-4e21-a127-7b9ecfe477f3/>,COMMERCIAL
<http://localhost/berlin/cityobject/UUID_d2644734-f415-4cb2-b48b-827109088369/>,COMMERCIAL
<http://localhost/berlin/cityobject/UUID_38bdd34c-1402-427e-82f1-76e12ed2bd93/>,COMMERCIAL
